#{"t_start": 1742451683.246128, "env_id": "None"}
r,l,t
375.910939,304,3450.83708
180.914484,217,3453.081423
78.711217,117,3455.393155
176.813869,192,3457.019559
188.93452,189,3459.095966
157.335799,197,3466.135847
259.450431,288,3469.71552
504.988671,644,3479.158418
54.123522,64,3481.420935
248.814856,155,3483.100692
204.52141,209,3485.318137
387.828518,430,3490.887778
131.193283,173,3492.569461
518.948126,564,3504.775643
378.762401,401,3509.827769
239.511954,247,3512.233128
202.382435,239,3515.330306
257.998047,219,3519.623621
233.692275,311,3522.430893
108.384848,157,3525.189721
58.70762,105,3526.009276
136.115581,168,3527.346689
488.853054,282,3536.818914
572.364192,711,3545.405526
379.035146,277,3552.647857
488.44727,569,3559.379972
439.713412,296,3569.808253
204.480471,238,3572.516681
238.217708,239,3575.574656
94.419007,121,3577.037422
327.740539,239,3585.12593
349.557272,346,3588.389821
100.797191,129,3589.58127
261.791206,279,3593.410358
211.035219,138,3600.614238
159.951742,163,3602.402468
270.918995,260,3604.90522
451.437347,581,3611.149976
67.537747,81,3613.558457
127.666695,117,3616.351791
28.182297,63,3617.06149
353.075898,640,3624.363531
47.880857,88,3625.38323
61.482733,76,3628.641013
64.297767,77,3629.632141
430.986723,297,3634.058283
169.717358,204,3636.478536
290.549234,316,3640.506724
321.216762,387,3643.816729
245.602924,172,3647.064758
52.220529,338,3651.995446
152.663181,213,3653.582506
391.732962,462,3658.846778
295.37504,182,3666.285465
373.573,490,3672.225441
215.557846,149,3680.118796
353.402196,419,3685.250196
343.156094,513,3691.587931
430.665197,317,3699.258944
343.378525,552,3706.398502
45.819718,79,3707.260808
60.035288,75,3713.347417
43.188485,63,3714.457114
310.490908,428,3720.043253
259.520888,288,3724.040452
278.379954,159,3728.854524
262.524603,168,3730.87431
310.902188,356,3735.506413
84.325267,126,3736.582774
307.089442,392,3741.136712
98.37911,90,3745.854989
78.037969,85,3746.686528
146.526442,121,3748.115659
3,433,3649.799514
300.126927,300,3653.66536
430.290841,434,3658.629164
98.351795,126,3660.030317
68.176949,85,3664.678483
131.160928,104,3666.4689214328.495441,71,3668.109775
1276.253452,342,3671.610239
232.316994,288,3674.954341
4227.785623,282,3677.708625
215.141961,135,3680.187975
6377.280436,491,3686.556386
196.564948,232,3689.77217
130.189828,164,3691.363907
380.783038,370,3700.377365
179.648876,224,3703.528664
66.342429,119,3705.0280318398.576427,126,3706.41928412112.304745,160,3709.196455
119.091946,178,3710.855259.450.264785,98,3711.7653322.175.656644,154,3714.935723
372.758065,354,3719.732696
229.330236,233,3721517.948277.880422,90,3728.545507
67.810239,81,3729.3315467.134.138007,124,3730.902163.3394.225703,352,3735.50356.995488,419,3737.599119
73.703239.019246,221,3747.599143
165.317283,160,3749.508931
297,3748.117743
.763117
52.986384,62,3746.346467
7,3725.773161
58.0345,67,3727.883773
228.62033,197,3729.74872
134.159428,167,3731.895959
66.623316,100,3734.055658
287.901689,351,3737.094916
153.142376,204,3740.039687
67.552241,82,3745.659744
60.464807,70,3746.356299
172.05375,125,3747.767382
26.14769,53,3748.615825
68.55005,83,3747.769028
89.052448,82,3748.825208
2.367154,198,3741.089001
59.318572,68,37248.706338,177,3746.759693
59.398988,69,3747.390748
.189235
183.939235,185,3741.947025
311.511083,260,3747.776956
55.642801,69,3748.746742
34,168,3732.225717
407.439579,510,3737.943579
223.83346,142,3746.500341
72.070531,78,3747.418651
61.402428,74,3748.23296
